Year,CO2_world
1990,20625272.97
1991,20766900.89
1992,20796958.43
1993,20937123.28
1994,21052949.1
1995,21652838.85
1996,22110607.51
1997,22492054.36
1998,22613709.04
1999,22720117.59
2000,23445433.27
2001,23845771.45
2002,24165261.26
2003,25285349.24
2004,26434355.26
2005,27414328.02
2006,28302931.66
2007,29368779.2
2008,29595752.4
2009,29267375.19
2010,31043476.98
2011,32021108.26
2012,32460316.86
2013,33119382.99
2014,33198729.82
2015,33198729.82
2016,32995536.02
2017,33018556.4
2018,33514537.91
2019,34289350.66
