จังหวัด,อำเภอ,รหัสไปรษณีย์
กรุงเทพมหานคร,พระนคร,10200
กรุงเทพมหานคร,ดุสิต,10300
กรุงเทพมหานคร,หนองจอก,10530
กรุงเทพมหานคร,บางรัก,10500
กรุงเทพมหานคร,บางเขน,10220
กรุงเทพมหานคร,บางกะปิ,10240
กรุงเทพมหานคร,ปทุมวัน,10330
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,10100
กรุงเทพมหานคร,พระโขนง,10260
กรุงเทพมหานคร,มีนบุรี,10510
กรุงเทพมหานคร,ลาดกระบัง,10520
กรุงเทพมหานคร,ยานนาวา,10120
กรุงเทพมหานคร,สัมพันธวงศ์,10100
กรุงเทพมหานคร,พญาไท,10400
กรุงเทพมหานคร,ธนบุรี,10600
กรุงเทพมหานคร,บางกอกใหญ่,10600
กรุงเทพมหานคร,ห้วยขวาง,10310
กรุงเทพมหานคร,คลองสาน,10600
กรุงเทพมหานคร,ตลิ่งชัน,10170
กรุงเทพมหานคร,บางกอกน้อย,10700
กรุงเทพมหานคร,บางขุนเทียน,10150
กรุงเทพมหานคร,ภาษีเจริญ,10160
กรุงเทพมหานคร,หนองแขม,10160
กรุงเทพมหานคร,ราษฎร์บูรณะ,10140
กรุงเทพมหานคร,บางพลัด,10700
กรุงเทพมหานคร,ดินแดง,10400
กรุงเทพมหานคร,บึงกุ่ม,10240
กรุงเทพมหานคร,สาทร,10120
กรุงเทพมหานคร,บางซื่อ,10800
กรุงเทพมหานคร,จตุจักร,10900
กรุงเทพมหานคร,บางคอแหลม,10120
กรุงเทพมหานคร,ประเวศ,10250
กรุงเทพมหานคร,คลองเตย,10110
กรุงเทพมหานคร,สวนหลวง,10250
กรุงเทพมหานคร,จอมทอง,10150
กรุงเทพมหานคร,ดอนเมือง,10210
กรุงเทพมหานคร,ราชเทวี,10400
กรุงเทพมหานคร,ลาดพร้าว,10230
กรุงเทพมหานคร,วัฒนา,10110
กรุงเทพมหานคร,บางแค,10160
กรุงเทพมหานคร,หลักสี่,10210
กรุงเทพมหานคร,สายไหม,10220
กรุงเทพมหานคร,คันนายาว,10230
กรุงเทพมหานคร,สะพานสูง,10240
กรุงเทพมหานคร,วังทองหลาง,10310
กรุงเทพมหานคร,คลองสามวา,10510
กรุงเทพมหานคร,บางนา,10260
กรุงเทพมหานคร,ทวีวัฒนา,10170
กรุงเทพมหานคร,ทุ่งครุ,10140
กรุงเทพมหานคร,บางบอน,10150
