Year,Month,Sector,Quantity,UNIT
1987,January,Power Generation,1203.63,"1,000 Tons"
1987,February,Power Generation,1067.01,"1,000 Tons"
1987,March,Power Generation,1286.76,"1,000 Tons"
1987,April,Power Generation,1285.21,"1,000 Tons"
1987,May,Power Generation,1934.97,"1,000 Tons"
1987,June,Power Generation,1382.67,"1,000 Tons"
1987,July,Power Generation,1447.88,"1,000 Tons"
1987,August,Power Generation,1398.02,"1,000 Tons"
1987,September,Power Generation,1376.11,"1,000 Tons"
1987,October,Power Generation,1469.81,"1,000 Tons"
1987,November,Power Generation,1348.59,"1,000 Tons"
1987,December,Power Generation,1290.95,"1,000 Tons"
1987,January,Transport,1588.61,"1,000 Tons"
1987,February,Transport,1428.29,"1,000 Tons"
1987,March,Transport,1581.16,"1,000 Tons"
1987,April,Transport,1557.4,"1,000 Tons"
1987,May,Transport,1513.35,"1,000 Tons"
1987,June,Transport,1465.69,"1,000 Tons"
1987,July,Transport,1542.77,"1,000 Tons"
1987,August,Transport,1493.17,"1,000 Tons"
1987,September,Transport,1406.57,"1,000 Tons"
1987,October,Transport,1503.36,"1,000 Tons"
1987,November,Transport,1460.19,"1,000 Tons"
1987,December,Transport,1551.44,"1,000 Tons"
1987,January,Industry,733.12,"1,000 Tons"
1987,February,Industry,696.18,"1,000 Tons"
1987,March,Industry,596.39,"1,000 Tons"
1987,April,Industry,626.46,"1,000 Tons"
1987,May,Industry,778.11,"1,000 Tons"
1987,June,Industry,657.34,"1,000 Tons"
1987,July,Industry,896.46,"1,000 Tons"
1987,August,Industry,634.08,"1,000 Tons"
1987,September,Industry,663.12,"1,000 Tons"
1987,October,Industry,695.43,"1,000 Tons"
1987,November,Industry,713.61,"1,000 Tons"
1987,December,Industry,802,"1,000 Tons"
1987,January,Other,587.72,"1,000 Tons"
1987,February,Other,535.58,"1,000 Tons"
1987,March,Other,584.31,"1,000 Tons"
1987,April,Other,565.79,"1,000 Tons"
1987,May,Other,563.24,"1,000 Tons"
1987,June,Other,547.36,"1,000 Tons"
1987,July,Other,573.08,"1,000 Tons"
1987,August,Other,561.04,"1,000 Tons"
1987,September,Other,536.44,"1,000 Tons"
1987,October,Other,562.94,"1,000 Tons"
1987,November,Other,550.84,"1,000 Tons"
1987,December,Other,598.06,"1,000 Tons"
1988,January,Power Generation,1444.54,"1,000 Tons"
1988,February,Power Generation,1373.43,"1,000 Tons"
1988,March,Power Generation,1463.92,"1,000 Tons"
1988,April,Power Generation,1505.2,"1,000 Tons"
1988,May,Power Generation,1582.19,"1,000 Tons"
1988,June,Power Generation,1568.55,"1,000 Tons"
1988,July,Power Generation,1596.39,"1,000 Tons"
1988,August,Power Generation,1630.5,"1,000 Tons"
1988,September,Power Generation,1539.57,"1,000 Tons"
1988,October,Power Generation,1653.87,"1,000 Tons"
1988,November,Power Generation,1522.69,"1,000 Tons"
1988,December,Power Generation,1499.18,"1,000 Tons"
1988,January,Transport,1767.64,"1,000 Tons"
1988,February,Transport,1704.75,"1,000 Tons"
1988,March,Transport,1872.79,"1,000 Tons"
1988,April,Transport,1798.04,"1,000 Tons"
1988,May,Transport,1734.7,"1,000 Tons"
1988,June,Transport,1757.52,"1,000 Tons"
1988,July,Transport,1717.99,"1,000 Tons"
1988,August,Transport,1748.65,"1,000 Tons"
