ปีเดือน,รหัสจังหวัด,ชื่อจังหวัด,รหัสสำนักทะเบียน,ชื่อสำนักทะเบียน,รหัสตำบล,ชื่อตำบล,รหัสหมู่บ้าน,ชื่อหมู่บ้าน,จำนวนประชากรชาย,จำนวนประชากรหญิง,จำนวนประชากรทั้งหมด,จำนวนบ้าน (หลังคาเรือน)
﻿6412,0,ทั่วประเทศ,0,-,0,-,0,-,"32,339,118","33,832,321","66,171,439","27,708,635"
6412,10,กรุงเทพมหานคร,0,-,0,-,0,-,"2,592,292","2,935,702","5,527,994","3,147,231"
6412,10,กรุงเทพมหานคร,1001,ท้องถิ่นเขตพระนคร,0,-,0,-,"20,753","22,309","43,062","19,140"
6412,10,กรุงเทพมหานคร,1002,ท้องถิ่นเขตดุสิต,0,-,0,-,"43,840","37,654","81,494","31,693"
6412,10,กรุงเทพมหานคร,1003,ท้องถิ่นเขตหนองจอก,0,-,0,-,"86,985","91,871","178,856","68,505"
6412,10,กรุงเทพมหานคร,1004,ท้องถิ่นเขตบางรัก,0,-,0,-,"21,172","23,843","45,015","32,664"
6412,10,กรุงเทพมหานคร,1005,ท้องถิ่นเขตบางเขน,0,-,0,-,"87,386","98,814","186,200","115,522"
6412,10,กรุงเทพมหานคร,1006,ท้องถิ่นเขตบางกะปิ,0,-,0,-,"64,756","77,818","142,574","109,419"
6412,10,กรุงเทพมหานคร,1007,ท้องถิ่นเขตปทุมวัน,0,-,0,-,"19,596","22,167","41,763","32,328"
6412,10,กรุงเทพมหานคร,1008,ท้องถิ่นเขตป้อมปราบศัตรูพ่าย,0,-,0,-,"19,672","20,746","40,418","19,609"
6412,10,กรุงเทพมหานคร,1009,ท้องถิ่นเขตพระโขนง,0,-,0,-,"39,143","47,875","87,018","61,515"
6412,10,กรุงเทพมหานคร,1010,ท้องถิ่นเขตมีนบุรี,0,-,0,-,"66,632","74,742","141,374","63,274"
6412,10,กรุงเทพมหานคร,1011,ท้องถิ่นเขตลาดกระบัง,0,-,0,-,"84,621","93,803","178,424","100,871"
6412,10,กรุงเทพมหานคร,1012,ท้องถิ่นเขตยานนาวา,0,-,0,-,"34,827","40,249","75,076","53,663"
6412,10,กรุงเทพมหานคร,1013,ท้องถิ่นเขตสัมพันธวงศ์,0,-,0,-,"10,065","10,712","20,777","13,177"
6412,10,กรุงเทพมหานคร,1014,ท้องถิ่นเขตพญาไท,0,-,0,-,"32,448","33,764","66,212","44,826"
6412,10,กรุงเทพมหานคร,1015,ท้องถิ่นเขตธนบุรี,0,-,0,-,"47,330","53,887","101,217","61,449"
6412,10,กรุงเทพมหานคร,1016,ท้องถิ่นเขตบางกอกใหญ่,0,-,0,-,"29,283","33,367","62,650","32,521"
6412,10,กรุงเทพมหานคร,1017,ท้องถิ่นเขตห้วยขวาง,0,-,0,-,"37,246","46,032","83,278","86,846"
6412,10,กรุงเทพมหานคร,1018,ท้องถิ่นเขตคลองสาน,0,-,0,-,"31,176","36,403","67,579","40,914"
